id,status,coord_x,coord_y,time
4878,Dead By Crowd,395694.7658731597,4440590.66619915,249
1917,Dead By Crowd,395694.85323106404,4440583.584343985,249
2975,Dead By Crowd,395694.63074437896,4440601.612075277,249
846,Dead By Crowd,395694.4763668033,4440613.804839911,249
2252,Dead By Crowd,395694.2718706923,4440630.26572477,249
2487,Dead By Crowd,395693.99267421,4440652.91505386,249
3517,Dead By Crowd,395693.29320642265,4440704.416325886,249
1374,Dead By Crowd,395693.1296542442,4440716.151540462,249
647,Dead By Crowd,395692.9099784659,4440733.361674746,249
2304,Dead By Crowd,395692.8962211131,4440734.598459383,249
3078,Dead By Crowd,395694.7183861484,4440594.512803409,257
772,Dead By Crowd,395694.0789770834,4440645.821170484,257
2348,Dead By Crowd,395694.9347333477,4440576.963155571,258
1716,Dead By Crowd,395693.8616996021,4440663.4088801285,258
1385,Dead By Crowd,395694.0023194367,4440652.122240011,258
1468,Dead By Crowd,395693.5981210576,4440682.429280663,258
339,Dead By Crowd,395693.71879339154,4440673.721302824,258
2455,Dead By Crowd,395693.5613798157,4440685.080608521,258
3067,Dead By Crowd,395693.50983624306,4440688.800104727,258
4793,Dead By Crowd,395693.41653143987,4440695.533182079,258
991,Dead By Crowd,395693.3569479707,4440699.832854691,258
4745,Dead By Crowd,395693.3170450069,4440702.705857066,258
1248,Dead By Crowd,395693.236816266,4440708.46243884,258
2139,Dead By Crowd,395693.0149929982,4440724.378727273,258
1909,Dead By Crowd,395693.002682452,4440725.262034994,258
3524,Dead By Crowd,395692.84118243225,4440739.546431287,258
1580,Dead By Crowd,395692.84118243225,4440739.546431287,258
2754,Dead By Crowd,395694.74926440534,4440592.011562934,265
4167,Dead By Crowd,395694.90845239913,4440579.098201415,265
403,Dead By Crowd,395694.87342093803,4440581.944132768,265
1357,Dead By Crowd,395694.72667305975,4440593.841536305,265
2019,Dead By Crowd,395694.10469204263,4440643.707464242,265
3310,Dead By Crowd,395693.4076721273,4440696.172489325,265
2475,Dead By Crowd,395693.1205514805,4440716.804683005,265
2058,Dead By Crowd,395693.0428341588,4440722.381065141,265
2036,Dead By Crowd,395692.93782428326,4440730.858338547,265
1068,Dead By Crowd,395692.8716440221,4440736.807937406,265
304,Dead By Crowd,395692.84118243225,4440739.546431287,265
2571,Dead By Crowd,395694.15163330024,4440639.849008621,273
4989,Dead By Crowd,395694.08892377524,4440645.003576937,273
78,Dead By Crowd,395693.1141726244,4440717.262379412,273
3834,Dead By Crowd,395692.92995894153,4440731.56543198,273
1461,Dead By Crowd,395692.8793493948,4440736.115225168,273
4600,Dead By Crowd,395692.84118243225,4440739.546431287,273
4620,Dead By Crowd,395694.6894532767,4440596.856461273,277
803,Dead By Crowd,395694.6416737067,4440600.726763746,277
2499,Dead By Crowd,395694.2461225668,4440632.110062957,277
360,Dead By Crowd,395694.2852131682,4440629.189328702,277
4114,Dead By Crowd,395693.91247155634,4440659.507514215,277
1946,Dead By Crowd,395693.6128289742,4440681.36792544,277
4495,Dead By Crowd,395693.559108337,4440685.244523361,277
2135,Dead By Crowd,395693.1873871323,4440712.009083687,277
1284,Dead By Crowd,395693.1570477085,4440714.186001484,277
4691,Dead By Crowd,395693.0223231144,4440723.852775942,277
207,Dead By Crowd,395692.912109836,4440733.170064783,277
569,Dead By Crowd,395694.2021790302,4440635.694274259,340
342,Dead By Crowd,395694.1524371328,4440639.782935569,340
3004,Dead By Crowd,395693.94118922227,4440657.146992893,340
3763,Dead By Crowd,395693.716311887,4440673.900373582,340
2106,Dead By Crowd,395693.39670751774,4440696.963719378,340
3884,Dead By Crowd,395694.8400973979,4440584.651313819,456
4966,Dead By Crowd,395694.58932748664,4440604.900267842,456
1276,Dead By Crowd,395694.7577508178,4440591.324135582,456
1718,Dead By Crowd,395694.3894807816,4440620.777602857,456
1993,Dead By Crowd,395693.76254601654,4440670.564018328,456
131,Dead By Crowd,395693.0851512432,4440719.34472487,456
613,Dead By Crowd,395694.6471259456,4440600.285114446,457
4877,Dead By Crowd,395693.80817099597,4440667.271620667,457
1662,Dead By Crowd,395693.5939122755,4440682.732995525,457
190,Dead By Crowd,395693.4729251118,4440691.463692164,457
2131,Dead By Crowd,395693.17857313884,4440712.641506351,457
901,Dead By Crowd,395693.09571078507,4440718.58705542,457
3026,Dead By Crowd,395693.0601705151,4440721.137144925,457
4963,Dead By Crowd,395693.0605772346,4440721.107961941,457
921,Dead By Crowd,395693.0716263489,4440720.315164633,457
3970,Dead By Crowd,395692.9815954117,4440726.9233184755,457
121,Dead By Crowd,395692.9396409613,4440730.695019375,457
829,Dead By Crowd,395693.8549191348,4440663.898173385,460
22,Dead By Crowd,395693.6121666086,4440681.41572318,460
563,Dead By Crowd,395693.23977300484,4440708.25028658,460
1432,Dead By Crowd,395693.144962155,4440715.053165498,460
2665,Dead By Crowd,395693.0681669907,4440720.563380898,460
1794,Dead By Crowd,395693.0401519457,4440722.5735196,460
4161,Dead By Crowd,395692.9396522725,4440730.694002501,460
4243,Dead By Crowd,395692.9103915015,4440733.324542883,460
584,Dead By Crowd,395692.84118243225,4440739.546431287,460
582,Dead By Crowd,395694.20176177134,4440635.728571908,466
3076,Dead By Crowd,395694.23609104886,4440632.906789947,466
259,Dead By Crowd,395694.01369501103,4440651.187195851,466
3140,Dead By Crowd,395693.95082041656,4440656.355332471,466
1113,Dead By Crowd,395693.88850351947,4440661.474651205,466
3287,Dead By Crowd,395693.44884405815,4440693.201433329,466
3547,Dead By Crowd,395693.2368157407,4440708.462476534,466
379,Dead By Crowd,395693.038732402,4440722.675374863,466
496,Dead By Crowd,395693.03681334463,4440722.813071287,466
3476,Dead By Crowd,395692.9830356581,4440726.7938404735,466
4063,Dead By Crowd,395694.14990818343,4440639.9908089675,472
3119,Dead By Crowd,395693.47678929305,4440691.184844453,472
2345,Dead By Crowd,395693.2183661275,4440709.786275284,472
4467,Dead By Crowd,395693.1069273072,4440717.782246241,472
176,Dead By Crowd,395693.0737980252,4440720.159342265,472
238,Dead By Crowd,395694.3714672271,4440622.230835334,474
2864,Dead By Crowd,395693.88030195225,4440662.066494121,474
2268,Dead By Crowd,395693.8817820462,4440661.9596873205,474
4034,Dead By Crowd,395693.70048856374,4440675.042218972,474
2898,Dead By Crowd,395693.56204197963,4440685.032825329,474
2985,Dead By Crowd,395693.6505323708,4440678.647166415,474
3848,Dead By Crowd,395693.30426820606,4440703.622619542,474
4762,Dead By Crowd,395694.1694843182,4440638.381698966,483
1763,Dead By Crowd,395693.5948441242,4440682.665751298,483
2314,Dead By Crowd,395693.47121488786,4440691.587105642,483
1734,Dead By Crowd,395692.99085013045,4440726.111029079,483
838,Dead By Crowd,395692.84118243225,4440739.546431287,483
3794,Dead By Crowd,395694.2391525895,4440632.655138858,491
3478,Dead By Crowd,395693.7233021312,4440673.3959423695,491
4157,Dead By Crowd,395693.12941377633,4440716.1687945435,491
3607,Dead By Crowd,395694.2129588304,4440634.808201265,495
4276,Dead By Crowd,395693.46123453666,4440692.307309472,495
832,Dead By Crowd,395693.50514718116,4440689.138477623,495
3244,Dead By Crowd,395693.5551695852,4440685.528752246,495
4498,Dead By Crowd,395693.358807451,4440699.698670551,495
3073,Dead By Crowd,395694.9019567595,4440579.625902628,497
1118,Dead By Crowd,395694.339022253,4440624.848313747,497
2905,Dead By Crowd,395693.53729850234,4440686.81836842,497
827,Dead By Crowd,395693.50340972067,4440689.263856547,497
2149,Dead By Crowd,395693.4671164118,4440691.882860582,497
1257,Dead By Crowd,395693.2516736046,4440707.396393389,497
1016,Dead By Crowd,395693.04132240865,4440722.489536414,497
1036,Dead By Crowd,395694.1001371717,4440644.081863405,499
2708,Dead By Crowd,395693.9214368575,4440658.7705885675,499
4736,Dead By Crowd,395693.87052237336,4440662.772209783,499
1163,Dead By Crowd,395693.73916176317,4440672.251476867,499
88,Dead By Crowd,395693.58269247256,4440683.542640887,499
4488,Dead By Crowd,395693.0683138282,4440720.552844995,499
3641,Dead By Crowd,395692.9457036548,4440730.149983838,499
1055,Dead By Crowd,395692.8790666974,4440736.140639642,499
4050,Dead By Crowd,395694.56040722085,4440607.18002203,510
4198,Dead By Crowd,395694.41780447384,4440618.492606339,510
3689,Dead By Crowd,395694.27457027056,4440630.047937951,510
3935,Dead By Crowd,395693.8670899152,4440663.019903422,510
4830,Dead By Crowd,395693.76530884334,4440670.364646741,510
264,Dead By Crowd,395693.53201668547,4440687.199515806,510
1524,Dead By Crowd,395693.5016823565,4440689.388506896,510
3688,Dead By Crowd,395693.5108018187,4440688.730426692,510
1156,Dead By Crowd,395693.52139132086,4440687.966265204,510
3446,Dead By Crowd,395693.5115558119,4440688.6760169,510
1784,Dead By Crowd,395693.236621324,4440708.476426348,510
1338,Dead By Crowd,395693.15686930233,4440714.1988025075,510
3845,Dead By Crowd,395692.98537160485,4440726.583839091,510
1210,Dead By Crowd,395694.8283864421,4440585.602417459,534
2543,Dead By Crowd,395694.7500624403,4440591.946919476,534
2904,Dead By Crowd,395694.062469876,4440647.17802222,534
1837,Dead By Crowd,395694.0176211263,4440650.864478857,534
4680,Dead By Crowd,395693.60426880984,4440681.985645504,534
4362,Dead By Crowd,395693.5075304508,4440688.966495705,534
