id,status,coord_x,coord_y,time
4459,Dead By Crowd,394579.409887469,4441209.454775725,95
2819,Dead By Crowd,394579.35380539746,4441204.128338173,95
342,Dead By Crowd,394583.9495340438,4441246.724827473,95
4182,Dead By Crowd,394590.2106052295,4441257.249838867,95
882,Dead By Crowd,394591.83071947016,4441259.886856535,95
3017,Dead By Crowd,394593.9497914215,4441263.68608719,95
101,Dead By Crowd,394593.7334682504,4441263.180221254,95
4900,Dead By Crowd,394593.56900653994,4441262.795631953,95
3808,Dead By Crowd,394594.4302760512,4441264.809687617,95
742,Dead By Crowd,394595.7114737443,4441267.805734078,95
4474,Dead By Crowd,394598.50886343705,4441275.473587345,95
1509,Dead By Crowd,394600.7449679469,4441283.180167228,95
4371,Dead By Crowd,394600.88694147265,4441283.669469186,95
1024,Dead By Crowd,394603.1255550505,4441291.384696399,95
3937,Dead By Crowd,394603.97747242823,4441294.320770851,95
34,Dead By Crowd,394580.939476668,4441237.490980404,123
2917,Dead By Crowd,394590.08856014133,4441257.051189262,123
1688,Dead By Crowd,394591.2837938897,4441258.9966400415,123
590,Dead By Crowd,394598.8428716152,4441276.624723482,123
1251,Dead By Crowd,394603.31744639546,4441292.0460366765,123
1599,Dead By Crowd,394604.28756127105,4441295.389470649,123
3119,Dead By Crowd,394579.38217035413,4441206.822321582,129
1485,Dead By Crowd,394583.0995128483,4441245.270216337,129
574,Dead By Crowd,394589.0828814338,4441255.414272276,129
3780,Dead By Crowd,394593.1395296386,4441262.017172689,129
1946,Dead By Crowd,394592.6125531363,4441261.159426789,129
381,Dead By Crowd,394597.13591294765,4441271.136746972,129
3091,Dead By Crowd,394598.4317892402,4441275.2079564445,129
2898,Dead By Crowd,395953.9423770897,4440741.729376442,163
4376,Dead By Crowd,395951.00168638607,4440741.704643933,163
1380,Dead By Crowd,395939.79727025435,4440741.610409838,163
4726,Dead By Crowd,395912.0305806054,4440741.3768796995,163
3207,Dead By Crowd,395852.4182099438,4440740.8755133,163
740,Dead By Crowd,395824.7591620024,4440740.645973659,163
1194,Dead By Crowd,395831.2170030858,4440740.7006847635,163
2350,Dead By Crowd,395737.9468976279,4440739.923665743,163
2400,Dead By Crowd,395735.29013825674,4440739.901465173,163
3444,Dead By Crowd,395725.92312321585,4440739.823027949,163
2721,Dead By Crowd,395716.7594052951,4440739.746123064,163
4600,Dead By Crowd,395714.1818823336,4440739.724491658,163
4368,Dead By Crowd,395711.6290289027,4440739.703067286,163
4528,Dead By Crowd,395706.52373574564,4440739.660222015,163
2306,Dead By Crowd,395958.4982591429,4440741.767693425,168
1263,Dead By Crowd,395924.8921238799,4440741.485050966,168
3504,Dead By Crowd,395959.3837472665,4440741.775140772,168
4613,Dead By Crowd,395963.80953562586,4440741.812363609,168
4180,Dead By Crowd,395879.4568151476,4440741.102919927,168
3986,Dead By Crowd,395915.2987876757,4440741.404366766,168
